ts,session,structure,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-08T20:05:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,92.37,92.44,92.21,92.34,0,0,0,0,106.0
2026-05-08T20:10:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.34,92.46,92.34,92.42,0,0,0,0,106.0
2026-05-08T20:15:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.43,92.48,92.26,92.26,0,0,0,0,106.0
2026-05-08T20:20:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.25,92.51,92.23,92.48,0,0,0,0,106.0
2026-05-08T20:25:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.48,92.49,92.39,92.48,0,0,0,0,106.0
2026-05-08T20:30:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.49,92.51,92.24,92.47,0,0,0,0,106.0
2026-05-08T20:35:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.47,92.48,92.33,92.38,0,0,0,0,106.0
2026-05-08T20:40:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.37,92.41,92.29,92.35,0,0,0,0,106.0
2026-05-08T20:45:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.35,92.4,92.29,92.33,0,0,0,0,106.0
2026-05-08T20:50:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.32,92.33,92.1,92.11,0,0,0,0,106.0
2026-05-08T20:55:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.11,92.14,92.01,92.11,0,0,0,0,106.0
2026-05-08T21:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.12,92.23,92.07,92.19,0,0,0,0,106.0
2026-05-08T21:05:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.18,92.24,91.85,91.88,0,0,0,0,106.0
2026-05-08T21:10:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,91.89,91.95,91.75,91.91,0,0,0,0,106.0
2026-05-08T21:15:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,91.9,92.06,91.89,92.02,0,0,0,0,106.0
2026-05-08T21:20:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,92.03,92.13,92.0,92.0,0,0,0,0,106.0
2026-05-08T21:25:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,92.0,92.07,91.89,91.93,0,0,0,0,106.0
2026-05-08T21:30:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,91.94,92.13,91.94,92.11,0,0,0,0,106.0
2026-05-08T21:35:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.11,92.31,92.11,92.27,0,0,0,0,106.0
2026-05-08T21:40:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.27,92.39,92.22,92.38,0,0,0,0,106.0
2026-05-08T21:45:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.38,92.39,92.3,92.33,0,0,0,0,106.0
2026-05-08T21:50:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.34,92.36,92.25,92.33,0,0,0,0,106.0
2026-05-08T21:55:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.33,92.33,92.26,92.3,0,0,0,0,106.0
2026-05-08T22:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.31,92.52,92.28,92.48,0,0,0,0,106.0
2026-05-08T22:05:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.49,92.6,92.48,92.52,0,0,0,0,106.0
2026-05-08T22:10:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.52,92.65,92.49,92.65,0,0,0,0,106.0
2026-05-08T22:15:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.65,92.71,92.52,92.54,0,0,0,0,106.0
2026-05-08T22:20:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,92.54,92.59,92.47,92.55,0,0,0,0,106.0
2026-05-08T22:25:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,92.54,92.54,92.4,92.42,0,0,0,0,106.0
2026-05-08T22:30:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,92.42,92.48,92.38,92.39,0,0,0,0,106.0
2026-05-08T22:35:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,92.38,92.47,92.34,92.34,0,0,0,0,106.0
